,change_count,method,errors,tests_passed,tests_total
0,0,llmatic,0,0,0
1,1,llmatic,0,1,1
2,2,llmatic,0,3,3
3,3,llmatic,0,4,4
4,4,llmatic,0,5,5
5,5,llmatic,0,8,10
6,6,llmatic,0,8,10
7,7,llmatic,0,8,10
8,8,llmatic,0,8,10
9,9,llmatic,0,8,10
10,10,llmatic,0,8,10
11,11,llmatic,0,9,10
12,12,llmatic,0,9,10
13,13,llmatic,0,10,10
14,14,llmatic,0,12,13
15,15,llmatic,0,12,13
16,16,llmatic,0,12,13
17,17,llmatic,0,7,8
18,18,llmatic,0,8,8
19,19,llmatic,0,10,10
20,20,llmatic,0,11,12
21,21,llmatic,2,0,1
22,22,llmatic,0,10,12
23,23,llmatic,0,0,5
24,24,llmatic,1,0,1
25,25,llmatic,2,0,1
26,26,llmatic,0,10,11
27,27,llmatic,0,10,11
28,28,llmatic,0,10,11
29,29,llmatic,0,10,11
30,30,llmatic,0,10,11
31,31,llmatic,0,10,11
32,32,llmatic,0,10,11
33,33,llmatic,0,10,11
34,34,llmatic,0,10,11
35,35,llmatic,0,10,11
36,36,llmatic,0,10,11
37,37,llmatic,0,10,11
38,38,llmatic,0,10,11
39,39,llmatic,0,10,11
40,40,llmatic,0,10,11
41,41,llmatic,1,10,11
42,42,llmatic,1,10,11
43,43,llmatic,0,11,11
44,44,llmatic,0,10,11
45,45,llmatic,0,11,11
46,46,llmatic,0,11,13
47,47,llmatic,0,11,13
48,48,llmatic,0,11,13
49,49,llmatic,1,0,1
50,50,llmatic,0,11,13
51,51,llmatic,0,12,13
52,52,llmatic,0,12,13
53,53,llmatic,0,12,13
54,54,llmatic,0,12,13
55,55,llmatic,0,13,13
56,56,llmatic,0,12,13
57,57,llmatic,0,13,13
58,58,llmatic,0,12,13
59,59,llmatic,0,13,13
60,60,llmatic,4,11,13
61,61,llmatic,0,11,13
62,62,llmatic,2,0,1
63,63,llmatic,2,0,1
64,64,llmatic,2,0,1
65,65,llmatic,2,0,1
66,66,llmatic,0,11,13
67,67,llmatic,0,11,13
68,68,llmatic,0,14,14
69,69,llmatic,0,13,14
70,70,llmatic,3,10,13
71,71,llmatic,0,11,13
72,72,llmatic,0,11,13
73,73,llmatic,0,11,13
74,74,llmatic,0,12,13
75,75,llmatic,0,13,13
76,76,llmatic,0,13,13
